pp_boiler,distance,year,automobile,bus,truck,motorcycle,all_mv,num_pp_50_mi,num_pp_100_mi,num_pp_150_mi,fuel_Fossil_fuel,fuel_Gas,fuel_Hydro,fuel_Nuclear,fuel_Oil,fuel_Sun,fuel_Wind,dir_NW,dir_SE,dir_SW,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,state_California,state_Colorado,state_Nevada,state_New Mexico,state_Utah,fuel,state,lat,long
2.0,113.95323808379592,2016,1047362,3128.0,1273607,74562.0,2398659.0,29,67,151,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Gas,Nevada,36.415999,-114.960916
0.0,115.26812187943204,2016,1047362,3128.0,1273607,74562.0,2398659.0,29,67,151,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sun,Nevada,36.39,-114.97
0.0,136.3929929017654,2016,1047362,3128.0,1273607,74562.0,2398659.0,29,67,151,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sun,Nevada,35.85,-114.944
0.0,111.79793548514387,2016,1047362,3128.0,1273607,74562.0,2398659.0,29,67,151,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Biomass,Nevada,36.35867,-114.87483
4.0,113.15267879474665,2016,1047362,3128.0,1273607,74562.0,2398659.0,29,67,151,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Gas,Nevada,36.383719,-114.921779
0.0,135.64481496285222,2016,1047362,3128.0,1273607,74562.0,2398659.0,29,67,151,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Gas,Nevada,36.1039,-115.1794
7.0,130.43418045810878,2016,1047362,3128.0,1273607,74562.0,2398659.0,29,67,151,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Gas,Nevada,36.0875,-115.0507
0.0,141.34403039631013,2016,1047362,3128.0,1273607,74562.0,2398659.0,29,67,151,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sun,Nevada,35.7881,-114.9933
0.0,141.66535915988615,2016,1047362,3128.0,1273607,74562.0,2398659.0,29,67,151,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sun,Nevada,35.7814,-114.9933
0.0,140.19843799736387,2016,1047362,3128.0,1273607,74562.0,2398659.0,29,67,151,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sun,Nevada,35.786389,-114.962778
0.0,135.11164507656963,2016,1047362,3128.0,1273607,74562.0,2398659.0,29,67,151,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sun,Nevada,35.88941900000001,-114.957912
0.0,140.90485574908726,2016,1047362,3128.0,1273607,74562.0,2398659.0,29,67,151,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sun,Nevada,35.78222,-114.975375
2.0,141.34128284876374,2016,1047362,3128.0,1273607,74562.0,2398659.0,29,67,151,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Gas,Nevada,35.78888900000001,-114.994167
2.0,110.61444394287943,2016,1047362,3128.0,1273607,74562.0,2398659.0,29,67,151,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Gas,Nevada,36.430554,-114.902405
0.0,120.16033786976524,2016,1047362,3128.0,1273607,74562.0,2398659.0,29,67,151,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Hydro,Nevada,36.01551,-114.738006
0.0,141.69517329495199,2016,1047362,3128.0,1273607,74562.0,2398659.0,29,67,151,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sun,Nevada,36.068926,-115.280825
3.0,128.13852010590605,2016,1047362,3128.0,1273607,74562.0,2398659.0,29,67,151,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Gas,Nevada,36.2319,-115.1222
0.0,127.8317201712302,2016,1047362,3128.0,1273607,74562.0,2398659.0,29,67,151,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sun,Nevada,36.134444,-115.035278
0.0,100.88403577154614,2016,1047362,3128.0,1273607,74562.0,2398659.0,29,67,151,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sun,Nevada,36.52995,-114.770308
0.0,114.97963708516899,2016,1047362,3128.0,1273607,74562.0,2398659.0,29,67,151,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sun,Nevada,36.390556,-114.964444
0.0,123.8902488319087,2016,1047362,3128.0,1273607,74562.0,2398659.0,29,67,151,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sun,Nevada,36.260278,-115.0544
0.0,125.57791272217777,2016,1047362,3128.0,1273607,74562.0,2398659.0,29,67,151,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sun,Nevada,36.206672,-115.047703
1.0,114.534186173238,2016,1047362,3128.0,1273607,74562.0,2398659.0,29,67,151,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Gas,Nevada,36.343229,-114.920686
